<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<OPENINT>
ГАЗПРОМ ао	D	20110607	000000	195.6	204.9	195.15	204.67	91320000	0
ГАЗПРОМ ао	D	20110608	000000	204	208.75	202.1	207.11	86509590	0
ГАЗПРОМ ао	D	20110609	000000	207.59	212.49	206.18	211.92	90343860	0
ГАЗПРОМ ао	D	20110610	000000	211	211.38	207.3	209.21	73674450	0
ГАЗПРОМ ао	D	20110611	000000	209.21	209.21	209.21	209.21	0	0
ГАЗПРОМ ао	D	20110612	000000	209.21	209.21	209.21	209.21	0	0
ГАЗПРОМ ао	D	20110613	000000	209.21	209.21	209.21	209.21	0	0
ГАЗПРОМ ао	D	20110614	000000	210.58	211.25	207.37	208.24	48641180	0
ГАЗПРОМ ао	D	20110615	000000	208.27	210.49	205.6	206	67324440	0
ГАЗПРОМ ао	D	20110616	000000	203.56	205.49	201.65	204.6	70641070	0
ГАЗПРОМ ао	D	20110617	000000	203.5	203.95	198.18	200.8	82515830	0
ГАЗПРОМ ао	D	20110618	000000	200.8	200.8	200.8	200.8	0	0
ГАЗПРОМ ао	D	20110619	000000	200.8	200.8	200.8	200.8	0	0
ГАЗПРОМ ао	D	20110620	000000	199.3	200.77	197.8	199	47955430	0
ГАЗПРОМ ао	D	20110621	000000	200.65	202.19	199.78	200.95	41643310	0
ГАЗПРОМ ао	D	20110622	000000	201.62	202.87	198.5	202.54	56964970	0
ГАЗПРОМ ао	D	20110623	000000	200.79	201.67	195.9	195.95	76409000	0
ГАЗПРОМ ао	D	20110624	000000	200	201.37	198.44	199.22	75855920	0
ГАЗПРОМ ао	D	20110625	000000	199.22	199.22	199.22	199.22	0	0
ГАЗПРОМ ао	D	20110626	000000	199.22	199.22	199.22	199.22	0	0
ГАЗПРОМ ао	D	20110627	000000	198.54	199.84	195.6	196.29	61378610	0
ГАЗПРОМ ао	D	20110628	000000	197.48	199.05	195.8	199.05	63946180	0
ГАЗПРОМ ао	D	20110629	000000	199.76	202.39	199.25	201.51	64596200	0
ГАЗПРОМ ао	D	20110630	000000	202.2	204.57	201.6	203.87	52978580	0
ГАЗПРОМ ао	D	20110701	000000	203.53	206.31	202.08	205	57670710	0
ГАЗПРОМ ао	D	20110702	000000	205	205	205	205	0	0
ГАЗПРОМ ао	D	20110703	000000	205	205	205	205	0	0
ГАЗПРОМ ао	D	20110704	000000	205.94	205.94	204	205.24	29407560	0
ГАЗПРОМ ао	D	20110705	000000	204.48	205.02	202.35	203.6	43621970	0
ГАЗПРОМ ао	D	20110706	000000	204.13	204.43	201.21	201.56	42500420	0
ГАЗПРОМ ао	D	20110707	000000	203.3	208.16	203.3	207.7	67644210	0
ГАЗПРОМ ао	D	20110708	000000	207.06	208.78	203.7	205.44	65147430	0
ГАЗПРОМ ао	D	20110709	000000	205.44	205.44	205.44	205.44	0	0
ГАЗПРОМ ао	D	20110710	000000	205.44	205.44	205.44	205.44	0	0
ГАЗПРОМ ао	D	20110711	000000	204.12	204.75	201.51	201.94	38210930	0
ГАЗПРОМ ао	D	20110712	000000	200.58	202.2	198.08	201.59	57993790	0
ГАЗПРОМ ао	D	20110713	000000	202	203.98	199.74	202.95	54397590	0
ГАЗПРОМ ао	D	20110714	000000	201.77	203	200	201	52593400	0
ГАЗПРОМ ао	D	20110715	000000	200.02	202.2	198.88	201.6	54002270	0
ГАЗПРОМ ао	D	20110716	000000	201.6	201.6	201.6	201.6	0	0
ГАЗПРОМ ао	D	20110717	000000	201.6	201.6	201.6	201.6	0	0
ГАЗПРОМ ао	D	20110718	000000	201.48	202.3	197.79	197.95	41877470	0
ГАЗПРОМ ао	D	20110719	000000	198.95	200.3	198.54	199.9	34429710	0
ГАЗПРОМ ао	D	20110720	000000	201.16	202.19	200.2	200.3	38731470	0
ГАЗПРОМ ао	D	20110721	000000	200.93	203.77	198.3	203.7	66043790	0
ГАЗПРОМ ао	D	20110722	000000	204.3	204.9	202.07	202.7	48483080	0
ГАЗПРОМ ао	D	20110723	000000	202.7	202.7	202.7	202.7	0	0
